,sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
10543,252589,https://sofifa.com/player/252589/nicola-pavan/20/159586,N. Pavan,Nicola Pavan,26,1993-06-15,184,78,Italy,Cittadella,65,68,600000,1000,"CDM, CM",Right,1,3,2,Medium/Medium,Normal,No,975000.0,,SUB,88.0,,2019-08-06,2022.0,,,68.0,54.0,63.0,64.0,63.0,66.0,,,,,,,,59,46,67,68,47,63,60,56,67,67,69,68,60,64,61,68,67,65,67,60,63,60,46,58,55,63,61,65,64,8,14,9,7,6,59+2,59+2,59+2,60+2,60+2,60+2,60+2,60+2,61+2,61+2,61+2,62+2,62+2,62+2,62+2,62+2,63+2,64+2,64+2,64+2,63+2,64+2,64+2,64+2,64+2,64+2
1419,232883,https://sofifa.com/player/232883/gaku-shibasaki/20/159586,G. Shibasaki,柴崎 岳,27,1992-05-28,175,62,Japan,Deportivo de La Coruña,76,77,9000000,10000,"CAM, ST, CDM",Right,1,3,4,Medium/Medium,Lean,No,15100000.0,,LDM,22.0,,2019-07-14,2023.0,,,68.0,68.0,75.0,76.0,68.0,64.0,,,,,,,Selfish,68,70,56,79,61,75,59,67,78,76,69,68,76,78,76,64,67,73,58,68,65,74,69,78,71,75,61,73,72,10,13,13,9,6,68+2,68+2,68+2,73+2,72+2,72+2,72+2,73+2,74+2,74+2,74+2,73+2,75+2,75+2,75+2,73+2,72+2,73+2,73+2,73+2,72+2,71+2,67+2,67+2,67+2,71+2
1017,223197,https://sofifa.com/player/223197/enes-unal/20/159586,E. Ünal,Enes Ünal,22,1997-05-10,185,75,Turkey,Real Valladolid CF,77,84,12500000,20000,ST,Right,1,3,3,High/Medium,Normal,Yes,,,SUB,9.0,Villarreal CF,,2020.0,,,72.0,77.0,64.0,76.0,36.0,78.0,,,,,,,,56,76,73,74,74,77,68,63,47,75,72,72,74,73,74,85,82,71,84,72,70,29,74,65,80,68,34,33,24,8,14,8,13,13,75+2,75+2,75+2,72+2,74+2,74+2,74+2,72+2,72+2,72+2,72+2,70+2,65+2,65+2,65+2,70+2,54+2,53+2,53+2,53+2,54+2,51+2,51+2,51+2,51+2,51+2
1491,182879,https://sofifa.com/player/182879/balazs-dzsudzsak/20/159586,B. Dzsudzsák,Balázs Dzsudzsák,32,1986-12-23,179,72,Hungary,Hungary,76,76,0,0,"LM, RM",Left,3,4,4,Medium/Medium,Normal,No,,,,,,,,RM,7.0,75.0,77.0,78.0,76.0,32.0,62.0,,,,,,,"Leadership, Argues with Officials, Crowd Favourite",83,72,42,73,73,76,83,84,72,74,76,74,84,73,73,83,62,71,61,81,53,35,71,83,85,77,42,21,20,10,7,14,7,10,70+3,70+3,70+3,75+3,74+3,74+3,74+3,75+3,75+3,75+3,75+3,75+3,70+3,70+3,70+3,75+3,57+3,54+3,54+3,54+3,57+3,52+3,43+3,43+3,43+3,52+3
18225,225510,https://sofifa.com/player/225510/devlin-mackay/20/159586,D. Mackay,Devlin Mackay,22,1997-01-23,191,81,Scotland,Kilmarnock,49,56,30000,1000,GK,Right,1,2,1,Medium/Medium,Normal,No,59000.0,,SUB,13.0,,2013-07-01,2024.0,,,,,,,,,48.0,50.0,47.0,48.0,41.0,48.0,,14,20,20,28,18,13,20,22,22,23,42,41,37,45,52,35,48,33,50,20,18,23,14,19,24,30,12,18,18,48,50,47,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,
15147,251175,https://sofifa.com/player/251175/goodness-ajayi/20/159586,G. Ajayi,Goodness Ajayi,24,1994-10-06,176,70,Nigeria,Astra Giurgiu,60,65,280000,2000,LM,Right,1,3,3,Medium/Medium,Normal,No,399000.0,,RES,17.0,,2019-07-01,2023.0,,,75.0,54.0,56.0,58.0,27.0,48.0,,,,,,,,58,59,46,59,40,55,51,41,54,56,71,78,77,47,74,62,55,70,44,37,30,22,60,56,44,52,21,31,21,10,12,10,13,7,56+2,56+2,56+2,58+2,57+2,57+2,57+2,58+2,57+2,57+2,57+2,59+2,52+2,52+2,52+2,59+2,46+2,41+2,41+2,41+2,46+2,44+2,35+2,35+2,35+2,44+2
16188,242913,https://sofifa.com/player/242913/hao-luo/20/159586,Luo Hao,罗皓,24,1995-01-17,186,79,China PR,Chongqing Dangdai Lifan FC SWM Team,58,66,170000,1000,"CB, CM",Right,1,2,2,Medium/Medium,Normal,No,298000.0,,CM,4.0,,2018-01-02,2022.0,,,53.0,32.0,44.0,42.0,58.0,61.0,,,,,,,,40,25,52,50,36,40,31,30,45,42,54,53,45,50,54,43,71,55,64,30,59,52,42,43,40,45,68,55,55,14,11,14,5,13,42+2,42+2,42+2,42+2,42+2,42+2,42+2,42+2,42+2,42+2,42+2,44+2,45+2,45+2,45+2,44+2,51+2,52+2,52+2,52+2,51+2,52+2,56+2,56+2,56+2,52+2
2825,229739,https://sofifa.com/player/229739/jacek-goralski/20/159586,J. Góralski,Jacek Góralski,26,1992-09-21,172,66,Poland,Poland,73,77,0,0,CDM,Right,1,2,2,Medium/High,Normal,No,,,,,,,,SUB,6.0,72.0,46.0,63.0,67.0,69.0,79.0,,,,,,,Injury Prone,51,42,55,70,47,61,46,46,71,68,70,73,84,64,81,50,62,86,73,46,90,77,62,65,43,75,66,70,71,11,14,7,10,5,58+2,58+2,58+2,61+2,61+2,61+2,61+2,61+2,64+2,64+2,64+2,64+2,67+2,67+2,67+2,64+2,69+2,72+2,72+2,72+2,69+2,69+2,70+2,70+2,70+2,69+2
367,208093,https://sofifa.com/player/208093/gerard-moreno-balaguero/20/159586,Gerard Moreno,Gerard Moreno Balagueró,27,1992-04-07,180,77,Spain,Villarreal CF,81,82,21000000,45000,"ST, CF",Left,1,4,3,High/Medium,Normal,Yes,45700000.0,,ST,7.0,,2018-07-02,2023.0,,,76.0,79.0,66.0,78.0,45.0,69.0,,,,,,,"Beat Offside Trap, Speed Dribbler (CPU AI Only)",61,80,80,75,81,79,70,56,56,80,75,77,72,78,67,80,75,73,72,78,55,40,80,62,75,72,43,41,41,15,12,7,12,10,78+2,78+2,78+2,75+2,77+2,77+2,77+2,75+2,74+2,74+2,74+2,73+2,69+2,69+2,69+2,73+2,61+2,58+2,58+2,58+2,61+2,59+2,55+2,55+2,55+2,59+2
9447,209162,https://sofifa.com/player/209162/jose-erik-correa/20/159586,J. Correa,José Érik Correa Villero,26,1992-07-20,185,80,Colombia,Alianza Petrolera,66,67,775000,1000,ST,Left,1,3,3,Medium/Medium,Stocky,No,1100000.0,,ST,9.0,,2019-01-18,2023.0,,,70.0,62.0,43.0,62.0,32.0,78.0,,,,,,,,27,63,66,53,63,62,54,50,40,65,75,66,56,60,51,68,91,57,88,52,76,21,62,37,68,65,41,22,20,13,15,15,13,13,64+2,64+2,64+2,57+2,60+2,60+2,60+2,57+2,56+2,56+2,56+2,55+2,49+2,49+2,49+2,55+2,43+2,44+2,44+2,44+2,43+2,42+2,47+2,47+2,47+2,42+2
